node	Degree Centrality	In-Degree Centrality	Out-Degree Centrality	Betweenness centrality	Eigenvector centrality
51	26.0	12.0	14.0	0.00340480458429843	0.0003223132630160968
52	45.0	20.0	25.0	0.006613913398746102	0.00035785158702006414
53	23.0	8.0	15.0	0.0014143111681808478	4.473528045367504e-05
54	34.0	11.0	23.0	0.0014953109529268892	8.458945224194008e-05
55	75.0	40.0	35.0	0.005703774316113119	0.0014915999049568101
56	46.0	23.0	23.0	0.002107785597946815	0.00013372886356299914
57	64.0	40.0	24.0	0.003140321249189433	0.0012130214883784895
58	9.0	2.0	7.0	0.00032170320030555904	6.1336877827975105e-06
59	36.0	36.0	0	0.0	0.0007568940732614002
60	2.0	1.0	1.0	0.0	3.0668438913987552e-06
61	16.0	10.0	6.0	0.0006288464738161007	0.0006146136435089465
62	29.0	13.0	16.0	0.002593996557800347	0.00018398623398353298
63	70.0	33.0	37.0	0.00346213316361506	0.0027462588582306924
64	46.0	27.0	19.0	0.0008073835317158949	0.0019257273925016023
65	50.0	26.0	24.0	0.0005234688418601962	0.002915414760950138
66	102.0	65.0	37.0	0.012016723027172627	0.007949732846922297
67	87.0	60.0	27.0	0.004173119811110175	0.005384077353416587
68	53.0	41.0	12.0	0.0004372378371936683	0.0025582343360027434
69	38.0	33.0	5.0	0.00021434800673696223	0.006163905280266519
70	75.0	47.0	28.0	0.002776962791653174	0.0035569626891242233
71	37.0	18.0	19.0	0.0003465521420357226	0.0010003183699581002
72	62.0	27.0	35.0	0.0016517919866097348	0.002523375673723675
73	13.0	0	13.0	0.0	3.7757856497573076e-111
74	9.0	4.0	5.0	7.594457816281213e-05	1.1365114805769493e-108
75	26.0	12.0	14.0	0.0014572480687454258	6.184014798548542e-06
76	45.0	24.0	21.0	0.0044267276666771225	5.933494376498428e-05
77	58.0	28.0	30.0	0.010633948444727169	9.504242758769555e-05
78	32.0	28.0	4.0	0.000596827577024213	7.112460802683453e-05
79	15.0	15.0	0	0.0	1.1343160916382768e-05
80	65.0	40.0	25.0	0.0036944297236651234	0.0008785498043434014
81	56.0	28.0	28.0	0.004576370804073156	0.001186640413496133
82	70.0	47.0	23.0	0.0032942656200706543	0.005285730348148145
83	46.0	28.0	18.0	0.007290710564807128	0.0010604533165644349
84	49.0	26.0	23.0	0.0015242033943269843	0.0006647618184914845
85	79.0	37.0	42.0	0.008225597640344494	0.0007468049988521529
86	38.0	14.0	24.0	0.0010093440451796362	0.0003091128861229338
87	45.0	27.0	18.0	0.001162315720506972	0.0007742171139627602
88	24.0	8.0	16.0	0.0012589353947187094	0.00014212679566695535
89	6.0	6.0	0	0.0	9.89361048341341e-05
90	11.0	8.0	3.0	7.190662513166056e-05	0.00022465124184639716
91	4.0	2.0	2.0	0.000498143628746871	1.0309762909494041e-05
92	36.0	17.0	19.0	0.0015331667625939356	0.0003970878240388156
93	25.0	25.0	0	0.0	0.004933180934739726
94	30.0	20.0	10.0	0.000531107303010791	2.0695863212938227e-05
95	41.0	35.0	6.0	0.0013130853802390244	0.0014657030595491933
96	14.0	4.0	10.0	0.0004920401074343995	0.00013075684086951458
97	27.0	16.0	11.0	0.0009401493566350142	0.0008982652824498777
98	53.0	31.0	22.0	0.00843568250051588	0.003017289190539428
99	48.0	24.0	24.0	0.003848870703605034	0.0008108584106136707
100	42.0	22.0	20.0	0.0034622651736180027	0.0007992918598402997
101	46.0	35.0	11.0	0.027751551790526716	0.0020455488130083645
102	77.0	38.0	39.0	0.007583692529962907	0.005423972196596358
103	46.0	22.0	24.0	0.002826049435520051	0.0037723572307047136
104	13.0	3.0	10.0	9.338284070824039e-05	0.00030293557869718815
105	31.0	18.0	13.0	0.0029682682120223533	0.0003757985977750893
106	18.0	10.0	8.0	0.0007636972802522666	0.0012297748390621103
107	34.0	21.0	13.0	0.00020723240873527272	0.0022560783554541395
108	63.0	31.0	32.0	0.008726813922087007	0.00776091213020052
109	26.0	18.0	8.0	0.0010391128555068206	2.7967351873957902e-06
110	23.0	5.0	18.0	0.0013967434840639077	2.8558357246265793e-05
111	25.0	15.0	10.0	0.0002823849268804359	7.450828674653259e-07
112	20.0	11.0	9.0	0.0008369563608062197	1.2860696955228216e-05
113	23.0	12.0	11.0	0.0010319558426022475	8.561999387370834e-06
114	17.0	12.0	5.0	0.0008620123770508012	1.4810822755889937e-06
115	40.0	25.0	15.0	0.013591441879515968	0.0006945765403397489
116	13.0	3.0	10.0	4.75494853732399e-05	5.388981356768391e-66
117	18.0	7.0	11.0	0.0023739022332882834	7.224769300631959e-06
118	33.0	23.0	10.0	0.001523146944527533	0.0008960648801609485
119	10.0	3.0	7.0	0.00010545269646738124	5.388981356768391e-66
120	11.0	9.0	2.0	0.0010423483947946022	1.3722926393748312e-06
121	22.0	6.0	16.0	0.0003033382793081102	1.0748398536112047e-06
122	12.0	12.0	0	0.0	5.080841212775814e-07
123	74.0	59.0	15.0	0.003975134388771424	0.00015015583472807183
124	77.0	52.0	25.0	0.013429508869689237	0.00022496535014659936
125	42.0	20.0	22.0	0.006103173723107921	6.608138410677089e-06
126	23.0	9.0	14.0	0.002681335411119012	9.672261225379239e-06
127	46.0	28.0	18.0	0.002542947882909361	1.775384695887682e-06
128	40.0	13.0	27.0	0.00386219372995232	5.043104962593152e-05
129	46.0	19.0	27.0	0.0029342484577349003	4.303062577745669e-05
130	41.0	6.0	35.0	0.001115652772898584	7.544071702588095e-06
131	98.0	65.0	33.0	0.007031640009594654	0.00017639289246587961
132	61.0	28.0	33.0	0.014082652209789022	0.0010312025234984726
133	23.0	13.0	10.0	0.0012374514138478387	4.310540133748798e-05
134	52.0	22.0	30.0	0.005638807275645899	0.0005482616853053842
135	53.0	21.0	32.0	0.0015169631818407244	2.024289168136166e-05
136	37.0	18.0	19.0	0.0019068948462155958	0.00017314582408639573
137	23.0	11.0	12.0	0.0027223535444419553	0.0001529078072039077
138	54.0	17.0	37.0	0.009141185740914017	0.00010527005617745922
139	72.0	41.0	31.0	0.01177303736882957	0.006632063781929187
140	38.0	29.0	9.0	0.0064099801307566096	0.00010352281773031275
141	45.0	28.0	17.0	0.005402022745271735	0.00024469224539247627
142	47.0	20.0	27.0	0.0056865760381388675	1.6156993408221815e-05
143	14.0	11.0	3.0	0.0008894626923683413	1.2773538581466698e-05
144	46.0	24.0	22.0	0.004128170220220639	0.0006042103531811572
145	24.0	16.0	8.0	0.0006889886780973869	0.00020399856326297329
146	30.0	7.0	23.0	5.117328937555541e-05	0.0006009916021930907
147	82.0	49.0	33.0	0.011757346667275482	0.005895793651220485
148	51.0	33.0	18.0	0.007922516355299811	0.00018625685382310384
149	16.0	6.0	10.0	0.0008189641739347233	2.9427486826353953e-05
150	35.0	11.0	24.0	0.0025385057647991757	3.51480423728012e-05
151	48.0	30.0	18.0	0.006364600860249654	5.071956755362741e-05
152	18.0	12.0	6.0	0.0002331917875490029	2.0763922147430702e-05
153	33.0	11.0	22.0	0.0018024826991831634	2.8090185989727058e-05
154	12.0	4.0	8.0	0.000913643818789507	7.927555702669431e-06
155	33.0	15.0	18.0	0.010579808566415298	0.0001600337871014637
156	37.0	13.0	24.0	0.0016493950991053451	0.0003597644851333197
157	76.0	39.0	37.0	0.004300904014853867	0.027013314929296647
158	35.0	19.0	16.0	0.004567529461859335	0.003587004483146428
159	41.0	29.0	12.0	0.0020447081124236543	0.01151429993436501
160	28.0	16.0	12.0	0.001604021375237169	5.9747177637094706e-05
161	51.0	24.0	27.0	0.003412382402198373	0.0016533921142041334
162	60.0	31.0	29.0	0.004052098808917749	0.039650413351638845
163	39.0	27.0	12.0	0.0026718151603186443	0.013862523848701316
164	56.0	41.0	15.0	0.0006601328445132347	0.036685541089980095
165	92.0	52.0	40.0	0.00713516222924964	0.19720810615225712
166	80.0	50.0	30.0	0.010058639360992905	0.0044742630765664424
167	14.0	14.0	0	0.0	0.002479489665032012
168	31.0	16.0	15.0	0.0034383403019084303	0.0009660130404072833
169	23.0	11.0	12.0	0.00016190638596059637	0.0005906070770390895
170	58.0	43.0	15.0	0.0031739320313109065	0.0029772845122121483
171	47.0	25.0	22.0	0.005656030698382612	0.0016357545701632828
172	48.0	26.0	22.0	0.0062874267771574855	0.0014961915284324525
173	59.0	37.0	22.0	0.004840245118244202	0.0026943731519321426
174	72.0	50.0	22.0	0.0037416268125879336	0.02302857276270772
175	35.0	15.0	20.0	0.0013559731006064278	4.334898202872958e-06
176	26.0	12.0	14.0	4.4262177456853695e-06	1.0819927712229782e-06
177	43.0	18.0	25.0	0.0022238638054352714	1.6981243363139524e-06
178	57.0	36.0	21.0	0.004489682386595309	0.00010596125120092368
179	22.0	14.0	8.0	7.380653380144598e-05	1.134363005258057e-06
180	35.0	25.0	10.0	0.0008322324734460585	0.0006189639679989839
181	32.0	10.0	22.0	0.0025910845724413435	4.2244399032333804e-05
182	12.0	2.0	10.0	6.962880547306224e-05	3.146603308302778e-07
183	4.0	1.0	3.0	0.0	1.6749036392960605e-07
184	21.0	13.0	8.0	0.0012412564080502703	4.616539210670973e-06
185	8.0	2.0	6.0	6.478843869854081e-05	1.1362161065677492e-06
186	24.0	17.0	7.0	0.00041061323150237006	0.013307800257298993
187	81.0	50.0	31.0	0.003646894659552711	0.0018466053769868032
188	19.0	10.0	9.0	0.0013067980802950064	1.0521042821974518e-06
189	66.0	50.0	16.0	0.00219531784407091	0.002070742543440053
190	36.0	16.0	20.0	0.004202746997260536	9.573597466777709e-05
191	12.0	8.0	4.0	0.0	3.5955350103968044e-05
192	83.0	44.0	39.0	0.016018356482710966	0.00019217071490700753
193	36.0	8.0	28.0	0.007840703063532841	0.00038135798774097774
194	55.0	26.0	29.0	0.006956862444230952	0.00013309419066491568
195	25.0	14.0	11.0	0.0006558234759578279	0.0005900735169538746
196	80.0	39.0	41.0	0.020461132609143486	0.0017144543106679972
197	22.0	10.0	12.0	0.00037208701809489587	0.00012178940478235612
198	33.0	17.0	16.0	0.0015690035957454053	0.00010480866183501407
199	30.0	8.0	22.0	0.0003039595028513643	0.00012943910888861106
200	44.0	19.0	25.0	0.002126774330918948	0.0007874244092235656
201	24.0	10.0	14.0	0.0003155427335016227	0.0002110649030232598
202	33.0	22.0	11.0	0.0002766903777339401	0.00032415167627848976
203	65.0	38.0	27.0	0.006963663362925902	0.0013018600488138097
204	37.0	22.0	15.0	0.0010267401532703432	0.0006772444718392743
205	60.0	41.0	19.0	0.0026934000900152907	0.0004933245429784989
206	61.0	36.0	25.0	0.006065274649658401	0.0004639896495445931
207	61.0	37.0	24.0	0.0039055810175857605	0.0009431195490760606
208	94.0	50.0	44.0	0.017992471968729724	0.3362470165410423
209	14.0	7.0	7.0	0.00288817178984546	4.258440988808673e-06
210	21.0	10.0	11.0	5.4098216891710066e-05	2.7194303130055924e-06
211	20.0	4.0	16.0	0.0027036554553418433	4.6518179061473487e-07
212	14.0	10.0	4.0	0.0003159620593933193	7.684328152991252e-06
213	43.0	22.0	21.0	0.0030992066043517294	1.1797033197495377e-05
214	63.0	38.0	25.0	0.013437210192745989	0.0006618638068934834
215	60.0	30.0	30.0	0.003558448697133745	0.0005893569039387904
216	64.0	37.0	27.0	0.00708081466013016	0.0011160233105106392
217	88.0	63.0	25.0	0.009559936631057097	0.0027195732448632892
218	26.0	14.0	12.0	0.00022371812851437812	0.00023064985669306974
219	64.0	47.0	17.0	0.005338405017131496	0.0009976417489376587
220	47.0	19.0	28.0	0.004909506366454176	0.000622174360367073
221	30.0	17.0	13.0	0.0010608556795207134	0.0004758060427974749
222	18.0	9.0	9.0	0.0005850735098995597	6.906155447929857e-05
223	54.0	26.0	28.0	0.0033043139108827903	0.0007881959640942311
224	63.0	40.0	23.0	0.0036004485855205834	0.0005629175528560476
225	48.0	19.0	29.0	0.0012139277490099507	0.0003483377924571802
226	17.0	6.0	11.0	0.00046829383749351204	0.002963843198148911
227	50.0	20.0	30.0	0.003846554057474981	0.0062937135879469605
228	41.0	18.0	23.0	0.0021505775463513013	0.0006132925401765884
229	23.0	11.0	12.0	0.00035206291255067244	0.004185730662835168
230	48.0	24.0	24.0	0.0010390248488381926	0.003854516802081722
231	48.0	24.0	24.0	0.0038305549628047542	0.0006961529613795948
232	54.0	31.0	23.0	0.0023727943846361486	0.0028458908205014504
233	47.0	36.0	11.0	0.0034930700960691136	0.010367942749213328
234	35.0	18.0	17.0	0.0005868336432721128	0.0019613388652070145
235	51.0	30.0	21.0	0.0013472966784523132	0.0043940891060187965
236	42.0	18.0	24.0	0.004946131561864108	0.00486002673724866
237	73.0	40.0	33.0	0.0058679947597723384	0.019338536259486287
238	34.0	0	34.0	0.0	3.7757856497573076e-111
239	59.0	34.0	25.0	0.0034784972271169443	0.011961207585182057
240	67.0	48.0	19.0	0.013029521888759778	0.014800636936686408
241	51.0	27.0	24.0	0.0016751914067389725	0.006821303740612646
242	38.0	16.0	22.0	0.0017456174490925425	0.0154096254510408
243	57.0	30.0	27.0	0.0029772423037909453	0.004401599606493766
244	36.0	17.0	19.0	0.0008197950604238259	0.0014739955741591084
245	11.0	10.0	1.0	1.5064670923911609e-05	3.240995660033415e-07
246	20.0	9.0	11.0	0.0015086543169497014	2.5562666196023286e-06
247	33.0	14.0	19.0	0.006290931883089929	3.110520810460879e-05
248	29.0	14.0	15.0	0.0033051706816861937	6.987791912295537e-05
249	44.0	23.0	21.0	0.005556181955961667	0.00010581974511859901
250	76.0	33.0	43.0	0.015836213924716843	0.00024676248107497226
251	62.0	40.0	22.0	0.007183857896711914	0.0005173221979769635
252	67.0	29.0	38.0	0.003970229311211144	0.0036216313607027547
253	49.0	49.0	0	0.0	0.00022229096556228167
254	23.0	7.0	16.0	0.003597003383286954	5.795534129859042e-06
255	61.0	32.0	29.0	0.005743330725229824	0.0026679762346081084
256	68.0	44.0	24.0	0.002487195288557818	0.0002821789360113908
257	81.0	43.0	38.0	0.010502922908539634	0.002578612936140343
258	81.0	54.0	27.0	0.015608052568764534	1.6540713391914035e-05
259	37.0	18.0	19.0	0.009882532840206086	1.8374256399015626e-05
260	53.0	29.0	24.0	0.004043114363423435	3.5644722433590577e-05
261	51.0	35.0	16.0	0.003082762299475511	2.6798198867725418e-05
262	22.0	11.0	11.0	0.0030010532845175875	0.00010810114996416263
263	49.0	16.0	33.0	0.0012104411318734373	1.2377036497471917e-05
264	62.0	29.0	33.0	0.0034365439304958507	2.2093106354590523e-05
265	20.0	17.0	3.0	0.0005418363512890752	1.374237069509332e-05
266	43.0	28.0	15.0	0.0022531130805968176	3.614506052646914e-05
267	26.0	7.0	19.0	0.0012932838797977998	1.758491149678037e-05
268	81.0	57.0	24.0	0.013006935236099625	0.00014345000869185205
269	41.0	21.0	20.0	0.004205023337815462	3.0410689132171455e-05
270	23.0	13.0	10.0	0.001402373322424648	0.00027654886780903437
271	68.0	41.0	27.0	0.004991272326903557	0.0022346265904557576
272	31.0	8.0	23.0	0.00018365438683734991	3.067601650496848e-05
273	29.0	14.0	15.0	0.004055904542672016	0.00010738638005480603
274	34.0	11.0	23.0	0.000933336605110661	6.91969241513714e-05
275	55.0	18.0	37.0	0.002222522997954415	0.0004907937065469799
276	44.0	29.0	15.0	0.00504210653176176	0.0008968157353427881
277	16.0	9.0	7.0	0.00019747143381189288	0.0001401528487568264
278	48.0	27.0	21.0	0.0036282172779040413	0.0009203945838990341
279	69.0	46.0	23.0	0.0026050155103988196	0.021026616537031077
280	60.0	30.0	30.0	0.004274370004262629	0.0008207224784824433
281	61.0	39.0	22.0	0.005972637277202061	0.001475693331441897
282	49.0	29.0	20.0	0.004084341666657669	0.00901966449738159
283	42.0	22.0	20.0	0.0014392081191511093	0.006078084045516148
284	44.0	17.0	27.0	0.001872812723056538	0.0027139055537208
285	43.0	17.0	26.0	0.003606480986598047	0.022028925328272816
286	7.0	6.0	1.0	2.277819658598319e-06	1.4789400539770572e-07
287	14.0	14.0	0	0.0	1.3315594964520898e-06
288	68.0	42.0	26.0	0.006413804353306805	0.0013346838149195552
289	58.0	30.0	28.0	0.005334696534443819	0.0008202534314609338
290	35.0	18.0	17.0	0.002346477802285046	0.00029086439621559066
291	50.0	26.0	24.0	0.0021138558394266107	0.0012502243798199423
292	10.0	3.0	7.0	0.0004447184040270195	2.78528689840793e-09
293	4.0	2.0	2.0	0.0	2.020012406100625e-10
294	37.0	23.0	14.0	0.004995739959552136	3.478765112384609e-05
295	25.0	6.0	19.0	0.0006687730286273269	4.428765583683144e-06
296	17.0	11.0	6.0	0.0026626417593299235	2.3865291174753058e-06
297	9.0	3.0	6.0	3.028464773363674e-06	1.0605556303409378e-06
298	13.0	8.0	5.0	0.0001206856154342575	0.0001320098640466078
299	56.0	30.0	26.0	0.005137464345651265	0.0008081990835931543
300	41.0	22.0	19.0	0.0014797156535597809	6.764605471802851e-05
301	16.0	16.0	0	0.0	1.9296957274970375e-05
302	50.0	32.0	18.0	0.002803051222262499	0.00025128297672874413
303	65.0	46.0	19.0	0.0046158695281465515	0.00011915869131887933
304	37.0	15.0	22.0	0.005810485360031514	4.865200400949588e-05
305	55.0	31.0	24.0	0.0022214720947937422	0.00014508255920465474
306	5.0	2.0	3.0	1.3446901280020759e-05	2.4886849098297592e-08
307	8.0	5.0	3.0	0.00026527798355807647	6.814003558750563e-07
308	36.0	23.0	13.0	0.004952717640750358	2.591766183801018e-05
309	24.0	15.0	9.0	0.002781895972183266	5.938597566157461e-06
310	9.0	6.0	3.0	4.389979705662214e-05	3.0062034102172042e-06
311	16.0	7.0	9.0	0.0004116308548303674	4.3341131263331954e-05
312	20.0	8.0	12.0	0.0013641292480430678	1.2494038632482936e-05
313	23.0	12.0	11.0	0.0008122756671190209	4.767333273833731e-06
314	18.0	14.0	4.0	0.0007980263520956304	1.3699159694750555e-06
315	24.0	11.0	13.0	0.0016158930311039378	5.727847065411139e-06
316	16.0	8.0	8.0	0.00033563672669446225	5.871399822066196e-06
317	13.0	2.0	11.0	2.8446861418176734e-05	2.7692837615959183e-06
318	19.0	15.0	4.0	0.003910547847724442	0.00023953628481443846
319	21.0	7.0	14.0	0.0008756767065709611	0.001393389396219865
320	70.0	39.0	31.0	0.0017260359653228873	0.2011099826237251
321	89.0	60.0	29.0	0.003916738266377781	0.28530577385699835
322	83.0	40.0	43.0	0.0034141156651875003	0.21712894524790835
323	58.0	19.0	39.0	0.003369811210017295	1.5368230109994704e-05
324	57.0	14.0	43.0	0.004921434228260574	1.555899786287296e-05
325	45.0	22.0	23.0	0.002144621935406271	1.6209992204307115e-05
326	43.0	20.0	23.0	0.003242157906948788	7.325770104975226e-05
327	72.0	34.0	38.0	0.007428203605069675	5.734415675423608e-05
328	21.0	15.0	6.0	0.0022386204530189867	9.608183997335672e-05
329	37.0	15.0	22.0	0.004865823997637695	7.720261582364074e-05
330	6.0	4.0	2.0	5.056500798945246e-05	5.5854802000035724e-08
331	28.0	18.0	10.0	0.0013708295876881658	2.7186742483193394e-05
332	7.0	1.0	6.0	0.00039476167742367004	3.361734033088513e-10
333	9.0	3.0	6.0	6.672976227120985e-05	3.6665922659899024e-11
334	51.0	19.0	32.0	0.002158301425739093	0.012054431039198362
335	32.0	14.0	18.0	0.002426460333479011	2.7223374910986407e-06
336	51.0	26.0	25.0	0.006092631781444445	2.849584846697028e-05
337	55.0	19.0	36.0	0.01155323368818953	1.4038803200679583e-05
338	11.0	3.0	8.0	3.758402436687226e-05	9.556484421296847e-07
339	60.0	36.0	24.0	0.008373446255207537	0.002604155209663699
340	38.0	19.0	19.0	0.0025623141570943883	4.612668156232391e-06
341	23.0	5.0	18.0	0.00036735018857758336	5.296926437594917e-05
342	22.0	11.0	11.0	0.0017484983732743836	4.733925335190236e-06
343	22.0	12.0	10.0	0.001066413041801408	0.00042368002178856277
344	38.0	21.0	17.0	0.00012843796756778248	0.00019794189111565737
345	55.0	33.0	22.0	0.006849393359679422	0.0001065740166506635
346	32.0	21.0	11.0	0.0005027510366926721	0.00032671708868563275
347	86.0	60.0	26.0	0.006688714629768585	0.000491314744648509
348	54.0	23.0	31.0	0.001556265924677266	0.0002249680398550666
349	51.0	26.0	25.0	0.002324590026111063	0.00023720381309584858
350	27.0	0	27.0	0.0	3.7757856497573076e-111
351	39.0	15.0	24.0	0.0007425925045859242	4.8732768956371803e-05
352	41.0	24.0	17.0	0.001112339580667896	0.00024640381831395606
353	26.0	14.0	12.0	0.0008872495834954986	2.757407433206052e-05
354	42.0	14.0	28.0	0.0025140373224892556	5.345649039537907e-05
355	20.0	12.0	8.0	0.000455900427805593	1.5740638070014446e-05
356	25.0	10.0	15.0	0.0008611892558559897	5.2031955843443965e-06
357	51.0	32.0	19.0	0.005237623699843833	0.0004732895428134491
358	2.0	1.0	1.0	9.318353148811304e-07	1.0677050953081685e-06
359	17.0	17.0	0	0.0	4.345957209831713e-05
360	23.0	8.0	15.0	0.004975379357921983	5.650758111566736e-06
361	31.0	15.0	16.0	0.0027579141549822286	2.0734312320091815e-05
362	27.0	13.0	14.0	0.004435908832960134	6.466523917462651e-07
363	18.0	8.0	10.0	0.000703898043135485	0.00043845444657663896
364	16.0	11.0	5.0	0.0011607950170417149	1.3488033765615933e-06
365	23.0	10.0	13.0	0.0016053529383200608	0.00029860764963431113
366	24.0	13.0	11.0	0.00425807323997793	2.2785152049701087e-05
367	43.0	15.0	28.0	0.0006518188027593507	4.906519989135133e-06
368	44.0	31.0	13.0	0.00508194249147293	1.2815359302902928e-05
369	34.0	22.0	12.0	0.0	7.701371012213632e-06
370	50.0	23.0	27.0	0.002170842376018534	3.987749418472638e-06
371	59.0	38.0	21.0	0.0019917721012441144	2.4403580262699777e-05
372	42.0	18.0	24.0	0.0002722512178311036	1.3781572932945028e-05
373	55.0	15.0	40.0	0.0008767664362030858	1.1658844430700044e-05
374	52.0	19.0	33.0	0.0008381340971069722	2.2806277717191385e-05
375	20.0	20.0	0	0.0	4.066785846976311e-05
376	38.0	38.0	0	0.0	0.000436454889714511
377	28.0	7.0	21.0	0.00026242812055339836	1.4027538111791928e-06
378	22.0	22.0	0	0.0	6.779183562851999e-06
379	39.0	20.0	19.0	0.0016364141154827647	0.00023752260195182803
380	26.0	11.0	15.0	0.0011636888833807067	2.1253031766318655e-05
381	37.0	11.0	26.0	0.0011725930875006818	3.733134629067348e-06
382	62.0	39.0	23.0	0.005045787281255543	0.0002168076760901531
383	56.0	23.0	33.0	0.009123936064087077	0.0007897460701674154
384	33.0	16.0	17.0	0.003139887502036912	0.0013508481657930238
385	20.0	20.0	0	0.0	0.0005409809863994455
386	55.0	43.0	12.0	0.002417316144787861	0.0027328657701667994
387	61.0	32.0	29.0	0.005934411321840489	0.002564062779630261
388	43.0	28.0	15.0	0.0013994483949084932	0.0018940148479393477
389	58.0	27.0	31.0	0.00407221868642489	0.002183402996748809
390	74.0	45.0	29.0	0.007976160610622117	0.0493924358630053
391	37.0	18.0	19.0	0.007921509085697538	0.0015432140738336178
392	26.0	5.0	21.0	0.0004834931068517954	6.388961923706586e-06
393	10.0	5.0	5.0	9.735090609077586e-05	9.207241773734827e-06
394	13.0	7.0	6.0	1.4391678752053015e-05	3.4419439870406072e-06
395	72.0	41.0	31.0	0.007589335680256721	0.00014376450696677813
396	14.0	3.0	11.0	0.0005212324371044811	2.1279396242725023e-05
397	24.0	24.0	0	0.0	0.0022569110637206467
398	20.0	3.0	17.0	0.00021230314590708422	2.3248345767132274e-06
399	22.0	14.0	8.0	0.0013495020220308648	0.001313516991388536
400	29.0	18.0	11.0	0.002212376346747931	0.008096646837592036
401	37.0	12.0	25.0	0.0034028529070000402	0.0002910873501813751
402	39.0	18.0	21.0	0.0008473437361357142	6.331675069088503e-05
403	38.0	22.0	16.0	0.0013059982549830668	0.00014835756665484704
404	41.0	21.0	20.0	0.004494453975048968	2.7803362432326624e-05
405	58.0	39.0	19.0	0.0022124229385136747	0.00020642237147099876
406	15.0	15.0	0	0.0	1.347993532873248e-05
407	36.0	21.0	15.0	0.004449331329029525	5.140457625000208e-05
408	29.0	17.0	12.0	0.00039147436950728377	7.559666944535878e-05
409	38.0	19.0	19.0	0.005867330827110483	8.789904667835405e-05
410	95.0	59.0	36.0	0.011513294006333203	0.34033420327452524
411	62.0	30.0	32.0	0.007750680006821033	0.00023022910261210355
412	39.0	15.0	24.0	0.0022487593389311795	0.0008500728206210523
